"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Comparison"
"GO:0007596","blood coagulation","2/24","241/18805",0.00829875518672199,6.50242047026279,3.0732500781728,0.0375144816855389,0.208098494244575,0.168223333670764,"PRKCA/JMJD1C",2,"DX_vs_REM"
"GO:0090140","regulation of mitochondrial fission","1/24","30/18805",0.0333333333333333,26.1180555555556,4.9218464085694,0.0376159945968781,0.208098494244575,0.168223333670764,"DDHD2",1,"DX_vs_REM"
"GO:0090330","regulation of platelet aggregation","1/24","30/18805",0.0333333333333333,26.1180555555556,4.9218464085694,0.0376159945968781,0.208098494244575,0.168223333670764,"PRKCA",1,"DX_vs_REM"
"GO:0007064","mitotic sister chromatid cohesion","1/24","31/18805",0.032258064516129,25.2755376344086,4.83551442294139,0.0388462058421344,0.208098494244575,0.168223333670764,"STAG2",1,"DX_vs_REM"
"GO:0019433","triglyceride catabolic process","1/24","31/18805",0.032258064516129,25.2755376344086,4.83551442294139,0.0388462058421344,0.208098494244575,0.168223333670764,"DDHD2",1,"DX_vs_REM"
"GO:0031664","regulation of lipopolysaccharide-mediated signaling pathway","1/24","31/18805",0.032258064516129,25.2755376344086,4.83551442294139,0.0388462058421344,0.208098494244575,0.168223333670764,"PRKCA",1,"DX_vs_REM"
"GO:0051491","positive regulation of filopodium assembly","1/24","31/18805",0.032258064516129,25.2755376344086,4.83551442294139,0.0388462058421344,0.208098494244575,0.168223333670764,"PIK3R1",1,"DX_vs_REM"
"GO:0150117","positive regulation of cell-substrate junction organization","1/24","31/18805",0.032258064516129,25.2755376344086,4.83551442294139,0.0388462058421344,0.208098494244575,0.168223333670764,"PIK3R1",1,"DX_vs_REM"
"GO:0150146","cell junction disassembly","1/24","31/18805",0.032258064516129,25.2755376344086,4.83551442294139,0.0388462058421344,0.208098494244575,0.168223333670764,"PIK3R1",1,"DX_vs_REM"
"GO:0050817","coagulation","2/24","246/18805",0.00813008130081301,6.37025745257453,3.03079638040964,0.038940586497862,0.208098494244575,0.168223333670764,"PRKCA/JMJD1C",2,"DX_vs_REM"
"GO:0007599","hemostasis","2/24","248/18805",0.00806451612903226,6.31888440860215,3.0141432903051,0.0395168517587822,0.209502039483068,0.169357936109067,"PRKCA/JMJD1C",2,"DX_vs_REM"
"GO:0002573","myeloid leukocyte differentiation","2/24","250/18805",0.008,6.26833333333333,2.99767230955313,0.0400964159688891,0.210900833600141,0.170488697820473,"PRKCA/PIK3R1",2,"DX_vs_REM"
"GO:0051497","negative regulation of stress fiber assembly","1/24","33/18805",0.0303030303030303,23.7436868686869,4.67448693591965,0.0413021087088414,0.212229297057739,0.171562605405957,"PIK3R1",1,"DX_vs_REM"
"GO:0071634","regulation of transforming growth factor beta production","1/24","33/18805",0.0303030303030303,23.7436868686869,4.67448693591965,0.0413021087088414,0.212229297057739,0.171562605405957,"CD46",1,"DX_vs_REM"
"GO:0090162","establishment of epithelial cell polarity","1/24","33/18805",0.0303030303030303,23.7436868686869,4.67448693591965,0.0413021087088414,0.212229297057739,0.171562605405957,"MSN",1,"DX_vs_REM"
