,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0045582,BP,GO:0045582,positive regulation of T cell differentiation,24/1423,114/13600,0.210526315789474,2.01205755076377,3.70938440113339,0.000624966403181196,0.0447282020853766,0.0401127784952252,ZMIZ1/ZBTB16/RASGRP1/IL4R/RARA/STAT5B/MALT1/AP3D1/TGFB1/PTPRC/CD46/DUSP10/ARID1A/RUNX1/EP300/CD86/OPA1/SMARCC1/AP3B1/CD83/ARID1B/RIPK2/SMARCA2/SHB,24
GO:0090263,BP,GO:0090263,positive regulation of canonical Wnt signaling pathway,23/1423,93/13600,0.247311827956989,2.36362674646174,4.51069351344989,6.47039010645241e-05,0.0159750635651822,0.0143266251796604,FAM53B/LRRK2/WNK1/LRRK1/USP8/CSNK1G1/NLE1/CSNK1D/TGFB1/RNF220/GID8/PRDM15/ZEB2/TTC21B/PPM1B/USP34/PPP2R3A/TBL1XR1/JRK/CCAR2/KANK1/SPIN4/TBL1X,23
GO:0061014,BP,GO:0061014,positive regulation of mRNA catabolic process,22/1423,99/13600,0.222222222222222,2.1238385258062,3.83640394094206,0.000477121726261376,0.0399570512342067,0.0358339542112763,CPEB3/CNOT2/PAN3/TNRC6A/FTO/CNOT1/CNOT3/KHSRP/RC3H1/HNRNPU/PUM1/TUT4/EIF4ENIF1/PUM2/GIGYF2/PNPT1/DHX36/DCP1A/DCP2/QKI/ZC3HAV1/AGO2,22
GO:2000628,BP,GO:2000628,regulation of miRNA metabolic process,21/1423,85/13600,0.247058823529412,2.36120871398454,4.30340224794921,0.000134687832782266,0.022778235898901,0.0204277902648657,ZSWIM8/HRAS/NEAT1/FOSL1/SREBF1/RARA/TGFB1/NR1H2/NOTCH2/POU2F1/RC3H1/JUN/SREBF2/PPARA/PNPT1/PPARG/GATA2/MYB/QKI/SRF/XIST,21
GO:0043500,BP,GO:0043500,muscle adaptation,20/1423,83/13600,0.240963855421687,2.30295743762118,4.07019205764064,0.000276532502035276,0.0285294362583394,0.0255855344920865,INPP5F/CAMK2G/FOXO1/MIR17HG/MEF2A/NFATC1/CTDP1/TNNT1/ATP2B4/SELENON/PPARA/CFLAR/HDAC4/PPARG/FOXP1/PPP3CA/IL6ST/JARID2/GTF2IRD1/NR4A3,20
GO:0046637,BP,GO:0046637,regulation of alpha-beta T cell differentiation,19/1423,75/13600,0.253333333333333,2.42117591941907,4.21886490577003,0.000194621136603188,0.0263287465825236,0.023611930068322,ZBTB16/ASCL2/IL4R/RARA/MALT1/JAK3/AP3D1/RC3H1/RUNX1/EP300/CD86/OPA1/SH3RF1/AP3B1/PRDM1/CD83/IRF4/RIPK2/SHB,19
GO:0045638,BP,GO:0045638,negative regulation of myeloid cell differentiation,19/1423,77/13600,0.246753246753247,2.35828823320039,4.08588896982051,0.000281184739468092,0.0285294362583394,0.0255855344920865,ZBTB16/UBASH3B/NFKBIA/NF1/RARA/STAT5B/FSTL3/GPR137B/PRDM16/ZBTB46/RUNX1/MEIS1/GATA2/HSPA9/PIK3R1/MYB/QKI/CDK6/LYN,19
GO:0006470,BP,GO:0006470,protein dephosphorylation,19/1423,83/13600,0.228915662650602,2.18780956574012,3.71049193233173,0.000770597190391558,0.0462008042784757,0.0414334254881585,DUSP5/PTPRE/PTEN/PTPRJ/SSH1/PPP1R12A/CTDP1/PTPRS/PTPRC/PTPN14/DUSP10/PTPN1/MTMR3/PPM1B/PPP2R3A/PPP3CA/PPP2CA/PTPRN2/PTPN12,19
GO:0018107,BP,GO:0018107,peptidyl-threonine phosphorylation,18/1423,68/13600,0.264705882352941,2.52986647926915,4.32327413527825,0.000156339338478199,0.0235670385660279,0.0211351977882558,LRRK2/TBK1/WNK1/CALM1/SPRED1/NLK/S1PR2/SIRT2/DYRK1A/MAPK1/CAB39/CAD/SPRED2/GSK3B/HIPK2/PRKAG2/PRKDC/RIPK2,18
GO:0018210,BP,GO:0018210,peptidyl-threonine modification,18/1423,76/13600,0.236842105263158,2.26356474460924,3.776047936043,0.000684446663427162,0.044734803572446,0.0401186987865897,LRRK2/TBK1/WNK1/CALM1/SPRED1/NLK/S1PR2/SIRT2/DYRK1A/MAPK1/CAB39/CAD/SPRED2/GSK3B/HIPK2/PRKAG2/PRKDC/RIPK2,18
